x	 y
0.0000000000	0.0000000000
0.0009882299	0.1976183128
0.0039517869	0.3950628296
0.0088888551	0.5923179256
0.0157974620	0.7893679803
0.0246754791	0.9861973561
0.0355206212	1.1827903564
0.0483304455	1.3791311557
0.0631023501	1.5752036967
0.0798335704	1.7709915459
0.0985211753	1.9664777020
0.1191620593	2.1616443519
0.1417529340	2.3564725654
0.1662903143	2.5509419246
0.1927705016	2.7450300817
0.2211895622	2.9387122380
0.2515432997	3.1319605398
0.2838272210	3.3247433849
0.3180364948	3.5170246354
0.3541659024	3.7087627303
0.3922097781	3.8999096948
0.4321619399	4.0904100415
0.4740156083	4.2801995595
0.5177633127	4.4692039896
0.5633967837	4.6573375817
0.6109068304	4.8445015344
0.6602832018	5.0305823162
0.7115144303	5.2154498688
0.7645876575	5.3989556961
0.8194884392	5.5809308432
0.8762005305	5.7611837715
0.9347056493	5.9394981404
0.9949832162	6.1156305062
1.0570100723	6.2893079558
1.1207601719	6.4602256937
1.1862042519	6.6280446056
1.2533094766	6.7923888293
1.3220390575	6.9528433659
1.3923518510	7.1089517717
1.4642019328	7.2602139784
1.5375381513	7.4060842953
1.6123036623	7.5459696531
1.6884354480	7.6792281608
1.7658638232	7.8051680494
1.8445119325	7.9230470876
1.9242952460	8.0320725602
2.0051210563	8.1314019066
2.0868879869	8.2201441209
2.1694855179	8.2973620213
2.2527935399	8.3620754946
2.3366819453	8.4132658232
2.4210102686	8.4498811958
2.5056273886	8.4708434941
2.5903713047	8.4750564373
2.6750690020	8.4614151438
2.7595364189	8.4288171486
2.8435785327	8.3761748839
2.9269895771	8.3024295939
3.0095534050	8.2065666111
3.0910440118	8.0876318768
3.1712262280	7.9447495312
3.2498565931	7.7771403435
3.3266844161	7.5841406957
3.4014530281	7.3652217699
3.4739012252	7.1200085395
3.5437648989	6.8482981069
3.6107788445	6.5500768969
3.6746787337	6.2255361789
3.7352032315	5.8750853803
3.7920962334	5.4993626606
3.8451091920	5.0992422349
3.8940034988	4.6758379915
3.9385528827	4.2305030129
3.9785457807	3.7648247057
4.0137876381	3.2806153604
4.0441030910	2.7798980882
4.0693379848	2.2648882280
4.0893611862	1.7379704649
4.1040661452	1.2016720477
4.1133721729	0.6586326348
4.1172254030	0.1115714222
4.1155994146	-0.4367476887
4.1084954996	-0.9835520512
4.0959425695	-1.5260964843
4.0779967014	-2.0616988466
4.0547403360	-2.5877741109
4.0262811453	-3.1018661363
3.9927505970	-3.6016764205
3.9543022496	-4.0850892312
3.9111098152	-4.5501926442
3.8633650355	-4.9952951648
3.8112754126	-5.4189377538
3.7550618440	-5.8199012284
3.6949562060	-6.1972091460
3.6311989296	-6.5501264032
3.5640366109	-6.8781538857
3.4937196928	-7.1810195907
3.4205002511	-7.4586667049
3.3446299130	-7.7112391570
3.2663579304	-7.9390651840
3.1859294253	-8.1426394432
3.1035838194	-8.3226041834
3.0195534537	-8.4797299550
2.9340624033	-8.6148962893
2.8473254818	-8.7290727281
2.7595474342	-8.8233005259
2.6709223072	-8.8986752870
2.5816329876	-8.9563307420
2.4918508971	-8.9974238153
2.4017358293	-9.0231210797
2.3114359149	-9.0345866524
2.2210877004	-9.0329715443
2.1308163271	-9.0194044427
2.0407357940	-8.9949838773
1.9509492934	-8.9607717027
1.8615496049	-8.9177878084
1.7726195369	-8.8670059610
1.6842324040	-8.8093506752
1.5964525318	-8.7456950056
1.5093357786	-8.6768591540
1.4229300679	-8.6036097863
1.3372759252	-8.5266599616
1.2524070113	-8.4466695773
1.1683506507	-8.3642462441
1.0851283482	-8.2799465112
1.0027562921	-8.1942773698
0.9212458416	-8.1076979701
0.8406039960	-8.0206214955
0.7608338441	-7.9334171450
0.6819349943	-7.8464121809
0.6039039834	-7.7598940062
0.5267346647	-7.6741122411
0.4504185759	-7.5892807749
0.3749452857	-7.5055797722
0.3003027220	-7.4231576196
0.2264774797	-7.3421327992
0.1534551109	-7.2625956818
0.0812203975	-7.1846102346
0.0097576068	-7.1082156396
-0.0609492680	-7.0334278218
-0.1309162829	-6.9602408895
-0.2001593314	-6.8886284879
-0.2686939466	-6.8185450709
-0.3365351151	-6.7499270945
-0.4036971029	-6.6826941400
-0.4701932917	-6.6167499705
-0.5360360260	-6.5519835306
-0.6012364697	-6.4882698948
-0.6658044718	-6.4254711727
-0.7297484412	-6.3634373798
-0.7930752302	-6.3020072812
-0.8557900255	-6.2410092162
-0.9178962490	-6.1802619133
-0.9793954649	-6.1195753012
-1.0402872961	-6.0587513260
-1.1005693485	-5.9975847803
-1.1602371439	-5.9358641529
-1.2192840607	-5.8733725047
-1.2777012851	-5.8098883775
-1.3354777694	-5.7451867417
-1.3926002025	-5.6790399877
-1.4490529881	-5.6112189649
-1.5048182355	-5.5414940724
-1.5598757604	-5.4696364034
-1.6142030978	-5.3954189441
-1.6677755275	-5.3186178291
-1.7205661115	-5.2390136494
-1.7725457458	-5.1563928133
-1.8236832253	-5.0705489545
-1.8739453237	-4.9812843829
-1.9232968869	-4.8884115707
-1.9717009431	-4.7917546650
-2.0191188263	-4.6911510180
-2.0655103166	-4.5864527213
-2.1108337953	-4.4775281326
-2.1550464146	-4.3642633790
-2.1981042829	-4.2465638215
-2.2399626645	-4.1243554643
-2.2805761925	-3.9975862885
-2.3198990948	-3.8662274943
-2.3578854322	-3.7302746306
-2.3944893470	-3.5897485939
-2.4296653208	-3.4446964762
-2.4633684399	-3.2951922455
-2.4955546669	-3.1413372397
-2.5261811160	-2.9832604593
-2.5552063299	-2.8211186449
-2.5825905570	-2.6550961266
-2.6082960256	-2.4854044377
-2.6322872126	-2.3122816859
-2.6545311054	-2.1359916784
-2.6749974534	-1.9568228032
-2.6936590072	-1.7750866690
-2.7104917430	-1.5911165130
-2.7254750703	-1.4052653876
-2.7385920195	-1.2179041421
-2.7498294097	-1.0294192176
-2.7591779923	-0.8402102777
-2.7666325713	-0.6506877009
-2.7721920969	-0.4612699603
-2.7758597336	-0.2723809229
-2.7776428998	-0.0844470976
-2.7775532808	0.1021051351
-2.7756068137	0.2868522790
-2.7718236445	0.4693764321
-2.7662280594	0.6492679197
-2.7588483899	0.8261278190
-2.7497168924	0.9995703502
-2.7388696066	1.1692251060
-2.7263461904	1.3347391000
-2.7121897369	1.4957786121
-2.6964465730	1.6520308173
-2.6791660436	1.8032051856
-2.6604002824	1.9490346438
-2.6402039726	2.0892764964
-2.6186340998	2.2237131041
-2.5957496983	2.3521523216
-2.5716115959	2.4744277038
-2.5462821560	2.5903984860
-2.5198250223	2.6999493523
-2.4923048662	2.8029900050
-2.4637871392	2.8994545514
-2.4343378331	2.9893007258
-2.4040232480	3.0725089640
-2.3729097703	3.1490813506
-2.3410636624	3.2190404588
-2.3085508633	3.2824281012
-2.2754368036	3.3393040116
-2.2417862323	3.3897444763
-2.2076630587	3.4338409324
-2.1731302079	3.4716985498
-2.1382494905	3.5034348124
-2.1030814866	3.5291781128
-2.0676854437	3.5490663724
-2.0321191878	3.5632456993
-1.9964390486	3.5718690924
-1.9606997962	3.5750952007
-1.9249545911	3.5730871446
-1.8892549451	3.5660114036
-1.8536506924	3.5540367761
-1.8181899718	3.5373334125
-1.7829192178	3.5160719245
-1.7478831596	3.4904225704
-1.7131248289	3.4605545167
-1.6786855738	3.4266351756
-1.6446050798	3.3888296148
-1.6109213953	3.3473000394
-1.5776709632	3.3022053419
-1.5448886554	3.2537007177
-1.5126078119	3.2019373415
-1.4808602820	3.1470621031
-1.4496764687	3.0892173962
-1.4190853739	3.0285409582
-1.3891146461	2.9651657558
-1.3597906282	2.8992199132
-1.3311384064	2.8308266786
-1.3031818587	2.7601044254
-1.2759437036	2.6871666845
-1.2494455482	2.6121222037
-1.2237079358	2.5350750317
-1.1987503923	2.4561246228
-1.1745914715	2.3753659599
-1.1512487990	2.2928896928
-1.1287391153	2.2087822891
-1.1070783161	2.1231261959
-1.0862814922	2.0360000096
-1.0663629670	1.9474786526
-1.0473363321	1.8576335546
-1.0292144818	1.7665328368
-1.0120096446	1.6742414991
-0.9957334141	1.5808216067
-0.9803967769	1.4863324782
-0.9660101398	1.3908308714
-0.9525833535	1.2943711683
-0.9401257364	1.1970055579
-0.9286460951	1.0987842161
-0.9181527436	0.9997554836
-0.9086535213	0.8999660405
-0.9001558081	0.7994610784
-0.8926665388	0.6982844689
-0.8861922153	0.5964789312
-0.8807389176	0.4940861953
-0.8763123125	0.3911471651
-0.8729176612	0.2877020788
-0.8705598254	0.1837906688
-0.8692432711	0.0794523202
-0.8689720715	-0.0252737690
-0.8697499083	-0.1303484290
-0.8715800709	-0.2357323569
-0.8744654543	-0.3413859533
-0.8784085553	-0.4472691569
-0.8834114671	-0.5533412753
-0.8894758721	-0.6595608118
-0.8966030330	-0.7658852874
-0.9047937820	-0.8722710576
-0.9140485083	-0.9786731223
-0.9243671434	-1.0850449301
-0.9357491448	-1.1913381743
-0.9481934771	-1.2975025811
-0.9616985917	-1.4034856902
-0.9762624034	-1.5092326257
-0.9918822649	-1.6146858588
-1.0085549397	-1.7197849607
-1.0262765713	-1.8244663464
-1.0450426504	-1.9286630097
-1.0648479795	-2.0323042487
-1.0856866345	-2.1353153831
-1.1075519231	-2.2376174635
-1.1304363412	-2.3391269736
-1.1543315254	-2.4397555264
-1.1792282026	-2.5394095559
-1.2051161371	-2.6379900051
-1.2319840738	-2.7353920139
-1.2598196785	-2.8315046073
-1.2886094756	-2.9262103876
-1.3183387822	-3.0193852333
-1.3489916391	-3.1108980084
-1.3805507397	-3.2006102856
-1.4129973555	-3.2883760873
-1.4463112596	-3.3740416503
-1.4804706474	-3.4574452186
-1.5154520564	-3.5384168690
-1.5512302832	-3.6167783783
-1.5877783003	-3.6923431358
-1.6250671721	-3.7649161096
-1.6630659706	-3.8342938746
-1.7017416920	-3.9002647083
